RawSpecies,ScientificName,SpeciesCode,Database_ID,Project,old_scientific,SpeciesScientific
INGAPE,"Inga pezizifera Benth.",ild-12189,ThePlantList,ngee_tropics,NA,NA
SIMAM,NA,NA,NA,ngee_tropics,NA,NA
ALSEBL,"Alseis blackiana Hemsl.",kew-6968,ThePlantList,ngee_tropics,NA,NA
GUSTSU,"Gustavia superba (Kunth) O.Berg",kew-314-067,ThePlantList,ngee_tropics,NA,NA
MICOAR,"Miconia argentea (Sw.) DC.",tro-20302666,ThePlantList,ngee_tropics,NA,NA
CAL1,"Callichlamys latifolia (Rich.) K. Schum.",tro-3700004,ThePlantList,ngee_tropics,NA,NA
AST2GR,"Astronium graveolens Jacq.",kew-2664129,ThePlantList,ngee_tropics,NA,NA
POSOLA,"Posoqueria latifolia (Rudge) Schult.",kew-163583,ThePlantList,ngee_tropics,NA,NA
CAPI,"Capparis indica (L.) Druce",CAIN5,USDA_Plants,ngee_tropics,NA,NA
PPRE,"Piper reticulatum L.",PIRE10,USDA_Plants,ngee_tropics,NA,NA
PIT1RU,"Cojoba rufescens (Benth.) Britton & Rose",ild-17602,ThePlantList,ngee_tropics,NA,NA
CUPACI,"Cupania cinerea Poepp.",kew-2747501,ThePlantList,ngee_tropics,NA,NA
ALBIAD,NA,NA,NA,ngee_tropics,NA,NA
"Acer rubrum",NA,ACRU,USDA_Plants,yang_pheno,NA,"Acer rubrum L."
"Betula alleghaniensis",NA,BEAL2,USDA_Plants,yang_pheno,NA,"Betula alleghaniensis Britton"
"Quercus rubra",NA,QURU,USDA_Plants,yang_pheno,NA,"Quercus rubra L."
